"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",0.62661390602871,0.626082651113839,0.625533963052386,0.622996434676949,0.620404545570819,0.617764377092254,0.61547349852345,0.611816411599054,0.60785698474375,0.606454444099422,0.612019239441813,0.622316660491437,0.617279732896425,0.613176537750965,0.608469035767401,0.607478943999863,0.599746477142137,0.595439009087657,0.59382332888139,0.596308129323559,0.595428061222659,0.595839794775052,0.595266278675272
"ALB","Albania",0.439508936614442,0.434114063250985,0.436372149520615,0.438609078388473,0.451930647375324,0.453020434894613,0.449999032473898,0.444454380050425,0.442368803220301,0.439014848125674,0.43475966300499,0.435026232957756,0.435700895994464,0.43286423724482,0.433678226874465,0.428700941871696,0.427369879704993,0.425151228129337,0.424214551118657,0.422759526502671,0.423026010994991,0.423056127726416,0.422787963542804
"DZA","Algeria",0.391260744188647,0.388907560716899,0.387247555300951,0.385293272174774,0.383017298351842,0.381066264436684,0.38320997461876,0.385345648105021,0.382672368515792,0.378620003677145,0.377468091742468,0.376898051997525,0.377240484530805,0.376769985386253,0.372621789090564,0.371448334538605,0.371015479584228,0.371695980547084,0.372447989360192,0.369828357940054,0.369730405919085,0.370366542095126,0.370522489571063
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.553953180765284,0.553225444137032,0.559852128128748,0.553271122931972,0.547320526989889,0.547162628898851,0.549752626139306,0.548957804459158,0.542599034946948,0.542003060976229,0.540645295377479,0.539215193819276,0.532616347489889,0.532378210902926,0.531109418888486,0.529449646245574,0.524910660631236,0.520082742696608,0.520238449083644,0.522060856803747,0.518249262481272,0.517718372299745,0.517443118645279
"ATG","Antigua and Barbuda",0.50158129017353,0.500782239983182,0.498939066299313,0.498212009613388,0.497207628043411,0.496609884776256,0.496621368928058,0.496048108803794,0.495411173396303,0.494804437480002,0.494014002220142,0.493616997766612,0.493030968219104,0.492058069391121,0.490729581224616,0.491465939551705,0.494546305068946,0.490165720278999,0.48835532096653,0.486433535849468,0.486517060783561,0.487378434540582,0.487297091939168
"ARG","Argentina",0.381658509992667,0.381387369865385,0.380486259968819,0.379895508661007,0.379337508843541,0.378632205606827,0.376606810619697,0.376831989663248,0.376939341709921,0.381772885364653,0.376859637017452,0.375415586868111,0.374504278259675,0.374672512822389,0.373156855153499,0.373350658557628,0.367931790799973,0.367399938015556,0.367807844182351,0.368162221456175,0.367972806346164,0.367827514574771,0.367765624350186
"ARM","Armenia",0.419720658784002,0.416222919417336,0.416755910526972,0.416337854766026,0.421876767494858,0.413929859067243,0.421728772296546,0.411445051028154,0.409984440341721,0.408544412842831,0.415161084224732,0.417517282692094,0.420108710883466,0.413086823071292,0.40915412241835,0.406046782434664,0.418128055457321,0.415734526718959,0.415032878261971,0.412221631912446,0.413008588296495,0.413602302588326,0.413776868343476
"AUS","Australia",0.30347975250193,0.30512030022764,0.305315070423143,0.305364943362819,0.306118343459709,0.305148002834348,0.304050979367843,0.307548737705797,0.306586725758988,0.307513004761629,0.305079503543577,0.309499432531434,0.310466807603624,0.310889639438058,0.309176809994675,0.303269998354128,0.300706508868437,0.297681974842669,0.294715706831985,0.292266608682244,0.293493701099262,0.294492715110532,0.294720751126701
"AUT","Austria",0.315518472633143,0.315324284546254,0.314882961647028,0.314404316475336,0.314190116237491,0.314011179623165,0.314349268072052,0.314292064695689,0.314194580845761,0.31477911027283,0.315440737834607,0.316193536136567,0.316097422385176,0.316923191819658,0.318207280196601,0.318311531229265,0.316682969850551,0.314715843913965,0.316721384928864,0.317613438681493,0.315496480971694,0.313246799781413,0.313323303790693
"AZE","Azerbaijan",0.45285610587673,0.451168884023383,0.450370866503006,0.450302064651127,0.448804254469645,0.452628015299982,0.441669297936885,0.436444717230515,0.435881292969676,0.434739908370518,0.433863717357258,0.43248793457353,0.430430040603357,0.42618212394615,0.424037483557751,0.421518393173746,0.419292841633416,0.415577213947081,0.411344394855542,0.408773817257094,0.407795891130306,0.407955950474404,0.408076191876337
"BHS","Bahamas",0.392682600645004,0.392836498289813,0.390928799545115,0.390606495939222,0.389824900886373,0.389304051194654,0.388750258612553,0.38736904684225,0.385922222820033,0.385318039118911,0.38465946262043,0.384401638374901,0.383582312835384,0.382554882992293,0.380980932151196,0.379959819108584,0.377778992086931,0.375848801103804,0.374893967074974,0.374771825286398,0.374980319583262,0.375832884724246,0.376108051568166
"BHR","Bahrain",0.441005956686606,0.439528758227001,0.44010684142417,0.44056574653601,0.440218792493197,0.440627453194705,0.440721740699851,0.439100787795651,0.439082305484673,0.438583411676234,0.438315958418513,0.437848872486379,0.437310990651783,0.437270178574299,0.43318791071715,0.432949016732629,0.436015163697244,0.44238766164724,0.448283808384583,0.453950826505899,0.45843030416224,0.458113371457927,0.457694915690556
"BGD","Bangladesh",0.593343336418611,0.591112953917486,0.597574734363019,0.588088725572234,0.585846013690071,0.58224868944926,0.577273665821745,0.575973028986868,0.573198354684067,0.571957201491381,0.564913563696587,0.559227536089987,0.564754906859876,0.560680005268595,0.559308674631854,0.556636848961205,0.552157789477833,0.5457222032335,0.55408493270822,0.550637068545849,0.546763889714256,0.543451102002713,0.542856795006984
"BRB","Barbados",0.393544128852608,0.393959298143997,0.393267639306358,0.391986677772478,0.391936694208382,0.389189508505396,0.388991375253028,0.388549571305505,0.382703705557532,0.383747911408409,0.382614054379434,0.382028082036969,0.381486271625012,0.381799182510875,0.385096298137586,0.384918289414765,0.379838081827161,0.380007296780147,0.378619598717407,0.378917787836331,0.379266044845215,0.380642046582726,0.38092288712354
"BLR","Belarus",0.349393728756271,0.349015733278256,0.349048073762456,0.349482322761076,0.34972209341713,0.350161292309449,0.347230443089046,0.344628334905517,0.342444552454262,0.339782181469719,0.337446597813202,0.337085653663087,0.336752245937464,0.338062473397585,0.339053035266714,0.338040569050178,0.337004803844559,0.337540522848701,0.337833592470713,0.338338955723198,0.339637128448062,0.34135097122533,0.341580254072901
"BEL","Belgium",0.363599234406534,0.363142620653261,0.363131701107529,0.362856792200698,0.362451658714686,0.362298236495171,0.362383493605911,0.36146212286028,0.361064063447822,0.360438532706858,0.359744665753953,0.360449808878977,0.36065818527418,0.360602632142453,0.360733911662235,0.361286358939947,0.36060610756709,0.360296709334536,0.360338179502934,0.360130085554338,0.360629853262266,0.36073763085065,0.360913967762455
"BLZ","Belize",0.508078221797522,0.506806210275388,0.505012411910918,0.498413685235248,0.496698848791168,0.492253257961609,0.489641941692744,0.487331667325287,0.487418289878877,0.485675111385135,0.481624552791979,0.482021850676778,0.483389605389145,0.480903904031028,0.475089315158506,0.478056438905844,0.47449386613347,0.468712311831975,0.469247069955819,0.47637857567113,0.474872099867781,0.474755468927992,0.474098476311458
"BEN","Benin",0.615068809311627,0.60840040629927,0.612223401241796,0.606430650827822,0.604399940923509,0.607255248604463,0.603931672669758,0.60197553023877,0.595610502515615,0.592135653568771,0.591368964218084,0.591368663574514,0.588043803301516,0.589592821118249,0.585263481235783,0.586021679845192,0.58358342159365,0.579316838771618,0.575843541266774,0.577355512659938,0.574888313193303,0.574077309789921,0.573781701867639
"BTN","Bhutan",0.553271332879519,0.552410614183421,0.550387663567648,0.544326509555509,0.540746772750542,0.533321974188068,0.531684657514901,0.538988340993104,0.520430630334573,0.513580426232221,0.509467143918208,0.502060878504598,0.510816041642557,0.516874258404083,0.501515990237,0.508320944683398,0.499610201872642,0.498929602811307,0.498264830371958,0.49298837536902,0.493120857058315,0.493250888892362,0.492636988879051
